,zone,id,distance,density
1531,S,UV-4,155.0,1.01435
1532,S,UV-4,160.0,3.55022
1533,S,UV-4,165.0,2.53587
1534,S,UV-4,170.0,3.04304
1535,S,UV-4,175.0,2.0287
1536,S,UV-4,180.0,1.52152
1537,S,UV-4,185.0,1.52152
1538,S,UV-4,190.0,1.52152
1539,S,UV-4,195.0,2.0287
1540,S,UV-4,200.0,1.01435
1541,S,UV-4,205.0,0.507174
1542,S,UV-4,210.0,2.0287
1543,S,UV-4,215.0,2.53587
1544,S,UV-4,220.0,3.55022
1545,S,UV-4,225.0,0.507174
1546,S,UV-4,230.0,3.04304
1547,S,UV-4,235.0,1.01435
1548,S,UV-4,240.0,1.01435
1549,S,UV-4,245.0,3.55022
1550,S,UV-4,250.0,2.0287
1551,S,UV-4,255.0,0.507174
1552,S,UV-4,260.0,0.0
1553,S,UV-4,265.0,0.0
1554,S,UV-4,270.0,1.52152
1555,S,UV-4,275.0,2.0287
1556,S,UV-4,280.0,1.52152
1557,S,UV-4,285.0,2.53587
1558,S,UV-4,290.0,1.52152
1559,S,UV-4,295.0,1.01435
1560,S,UV-4,300.0,0.507174
1561,S,UV-4,305.0,2.0287
1562,S,UV-4,310.0,1.01435
1563,S,UV-4,315.0,3.04304
1564,S,UV-4,320.0,1.01435
1565,S,UV-4,325.0,1.52152
1566,S,UV-4,330.0,0.0
1567,S,UV-4,335.0,0.507174
1568,S,UV-4,340.0,0.507174
1569,S,UV-4,345.0,1.52152
1570,S,UV-4,350.0,0.507174
1571,S,UV-4,355.0,1.52152
1572,S,UV-4,360.0,1.52152
1573,S,UV-4,365.0,1.01435
1574,S,UV-4,370.0,0.507174
1575,S,UV-4,375.0,1.01435
1576,S,UV-4,380.0,0.507174
1577,S,UV-4,385.0,1.01435
1578,S,UV-4,390.0,0.507174
1579,S,UV-4,395.0,0.507174
1580,S,UV-4,400.0,1.52152
1581,S,UV-4,405.0,1.52152
1582,S,UV-4,410.0,1.52152
1583,S,UV-4,415.0,0.507174
1584,S,UV-4,420.0,1.01435
1585,S,UV-4,425.0,1.01435
1586,S,UV-4,430.0,0.0
1587,S,UV-4,435.0,0.507174
1588,S,UV-4,440.0,1.52152
1589,S,UV-4,445.0,2.0287
1590,S,UV-4,450.0,1.01435
1591,S,UV-4,455.0,0.507174
1592,S,UV-4,460.0,0.507174
1593,S,UV-4,465.0,0.507174
1594,S,UV-4,470.0,0.507174
1595,S,UV-4,475.0,2.0287
1596,S,UV-4,480.0,0.507174
1597,S,UV-4,485.0,0.0
1598,S,UV-4,490.0,0.507174
1599,S,UV-4,495.0,0.0
1600,S,UV-5,0.0,0.0
1601,S,UV-5,5.0,0.0
1602,S,UV-5,10.0,0.0
1603,S,UV-5,15.0,0.332177
1604,S,UV-5,20.0,0.664354
1605,S,UV-5,25.0,4.3183
1606,S,UV-5,30.0,5.31483
1607,S,UV-5,35.0,7.97225
1608,S,UV-5,40.0,3.98612
1609,S,UV-5,45.0,4.98265
1610,S,UV-5,50.0,2.98959
1611,S,UV-5,55.0,1.32871
1612,S,UV-5,60.0,3.65395
1613,S,UV-5,65.0,4.3183
1614,S,UV-5,70.0,2.98959
1615,S,UV-5,75.0,1.66088
1616,S,UV-5,80.0,1.32871
1617,S,UV-5,85.0,1.66088
1618,S,UV-5,90.0,3.65395
1619,S,UV-5,95.0,1.99306
1620,S,UV-5,100.0,1.66088
1621,S,UV-5,105.0,1.99306
1622,S,UV-5,110.0,2.65742
1623,S,UV-5,115.0,1.99306
1624,S,UV-5,120.0,1.99306
1625,S,UV-5,125.0,1.66088
1626,S,UV-5,130.0,3.32177
1627,S,UV-5,135.0,2.32524
1628,S,UV-5,140.0,2.65742
1629,S,UV-5,145.0,2.32524
1630,S,UV-5,150.0,0.332177
1631,S,UV-5,155.0,1.66088
1632,S,UV-5,160.0,2.32524
1633,S,UV-5,165.0,2.32524
1634,S,UV-5,170.0,3.98612
1635,S,UV-5,175.0,2.32524
1636,S,UV-5,180.0,1.32871
1637,S,UV-5,185.0,1.66088
1638,S,UV-5,190.0,2.32524
1639,S,UV-5,195.0,2.98959
1640,S,UV-5,200.0,1.32871
1641,S,UV-5,205.0,2.98959
1642,S,UV-5,210.0,2.32524
1643,S,UV-5,215.0,1.66088
1644,S,UV-5,220.0,1.66088
1645,S,UV-5,225.0,1.66088
1646,S,UV-5,230.0,1.99306
1647,S,UV-5,235.0,1.66088
1648,S,UV-5,240.0,0.996531
1649,S,UV-5,245.0,1.32871
1650,S,UV-5,250.0,1.66088
1651,S,UV-5,255.0,2.65742
1652,S,UV-5,260.0,2.65742
1653,S,UV-5,265.0,2.32524
1654,S,UV-5,270.0,1.32871
1655,S,UV-5,275.0,0.664354
1656,S,UV-5,280.0,2.65742
1657,S,UV-5,285.0,1.32871
1658,S,UV-5,290.0,2.98959
1659,S,UV-5,295.0,1.66088
1660,S,UV-5,300.0,0.664354
1661,S,UV-5,305.0,1.99306
1662,S,UV-5,310.0,0.664354
1663,S,UV-5,315.0,1.66088
1664,S,UV-5,320.0,1.99306
1665,S,UV-5,325.0,1.66088
1666,S,UV-5,330.0,1.99306
1667,S,UV-5,335.0,1.32871
1668,S,UV-5,340.0,1.32871
1669,S,UV-5,345.0,1.32871
1670,S,UV-5,350.0,1.66088
1671,S,UV-5,355.0,0.996531
1672,S,UV-5,360.0,0.664354
1673,S,UV-5,365.0,0.996531
1674,S,UV-5,370.0,1.66088
1675,S,UV-5,375.0,0.332177
1676,S,UV-5,380.0,0.664354
1677,S,UV-5,385.0,2.32524
1678,S,UV-5,390.0,0.664354
1679,S,UV-5,395.0,0.332177
1680,S,UV-5,400.0,1.66088
1681,S,UV-5,405.0,0.332177
1682,S,UV-5,410.0,0.664354
1683,S,UV-5,415.0,0.996531
1684,S,UV-5,420.0,0.664354
1685,S,UV-5,425.0,0.664354
1686,S,UV-5,430.0,1.66088
1687,S,UV-5,435.0,1.66088
1688,S,UV-5,440.0,0.664354
1689,S,UV-5,445.0,1.32871
1690,S,UV-5,450.0,0.664354
1691,S,UV-5,455.0,0.332177
1692,S,UV-5,460.0,0.996531
1693,S,UV-5,465.0,0.332177
1694,S,UV-5,470.0,0.996531
1695,S,UV-5,475.0,0.332177
1696,S,UV-5,480.0,0.664354
1697,S,UV-5,485.0,0.0
1698,S,UV-5,490.0,0.332177
1699,S,UV-5,495.0,1.32871
1700,S,UV-6,0.0,0.0
1701,S,UV-6,5.0,0.0
1702,S,UV-6,10.0,0.0
1703,S,UV-6,15.0,0.0
1704,S,UV-6,20.0,0.515338
1705,S,UV-6,25.0,1.03068
1706,S,UV-6,30.0,4.1227
1707,S,UV-6,35.0,10.3067
1708,S,UV-6,40.0,7.21473
1709,S,UV-6,45.0,4.63804
1710,S,UV-6,50.0,1.54601
1711,S,UV-6,55.0,3.60736
1712,S,UV-6,60.0,2.06135
1713,S,UV-6,65.0,2.06135
1714,S,UV-6,70.0,1.54601
1715,S,UV-6,75.0,2.57669
1716,S,UV-6,80.0,2.57669
1717,S,UV-6,85.0,1.03068
1718,S,UV-6,90.0,0.0
1719,S,UV-6,95.0,2.57669
1720,S,UV-6,100.0,1.54601
1721,S,UV-6,105.0,1.54601
1722,S,UV-6,110.0,3.60736
1723,S,UV-6,115.0,1.03068
1724,S,UV-6,120.0,2.57669
1725,S,UV-6,125.0,0.515338
1726,S,UV-6,130.0,3.60736
1727,S,UV-6,135.0,1.03068
1728,S,UV-6,140.0,3.09203
1729,S,UV-6,145.0,2.06135
1730,S,UV-6,150.0,1.54601
1731,S,UV-6,155.0,1.54601
1732,S,UV-6,160.0,1.03068
1733,S,UV-6,165.0,2.57669
1734,S,UV-6,170.0,1.54601
1735,S,UV-6,175.0,3.09203
1736,S,UV-6,180.0,0.515338
1737,S,UV-6,185.0,3.09203
1738,S,UV-6,190.0,2.06135
1739,S,UV-6,195.0,3.09203
1740,S,UV-6,200.0,2.57669
1741,S,UV-6,205.0,1.03068
1742,S,UV-6,210.0,1.03068
1743,S,UV-6,215.0,3.60736
1744,S,UV-6,220.0,3.60736
1745,S,UV-6,225.0,2.06135
1746,S,UV-6,230.0,1.03068
1747,S,UV-6,235.0,1.54601
1748,S,UV-6,240.0,1.03068
1749,S,UV-6,245.0,2.06135
1750,S,UV-6,250.0,2.06135
1751,S,UV-6,255.0,3.60736
1752,S,UV-6,260.0,1.03068
1753,S,UV-6,265.0,1.03068
1754,S,UV-6,270.0,1.54601
1755,S,UV-6,275.0,1.54601
1756,S,UV-6,280.0,3.09203
1757,S,UV-6,285.0,1.03068
1758,S,UV-6,290.0,1.54601
1759,S,UV-6,295.0,1.03068
1760,S,UV-6,300.0,1.03068
1761,S,UV-6,305.0,2.57669
1762,S,UV-6,310.0,1.03068
1763,S,UV-6,315.0,2.06135
1764,S,UV-6,320.0,2.06135
1765,S,UV-6,325.0,1.54601
1766,S,UV-6,330.0,1.54601
1767,S,UV-6,335.0,2.06135
1768,S,UV-6,340.0,1.54601
1769,S,UV-6,345.0,2.06135
1770,S,UV-6,350.0,3.09203
1771,S,UV-6,355.0,1.54601
1772,S,UV-6,360.0,2.06135
1773,S,UV-6,365.0,1.54601
1774,S,UV-6,370.0,2.06135
1775,S,UV-6,375.0,2.06135
1776,S,UV-6,380.0,1.54601
1777,S,UV-6,385.0,1.54601
1778,S,UV-6,390.0,2.06135
1779,S,UV-6,395.0,2.57669
1780,S,UV-6,400.0,1.54601
1781,S,UV-6,405.0,2.06135
1782,S,UV-6,410.0,1.03068
1783,S,UV-6,415.0,2.57669
1784,S,UV-6,420.0,1.54601
1785,S,UV-6,425.0,1.03068
1786,S,UV-6,430.0,0.515338
1787,S,UV-6,435.0,0.515338
1788,S,UV-6,440.0,1.03068
1789,S,UV-6,445.0,2.57669
1790,S,UV-6,450.0,2.57669
1791,S,UV-6,455.0,0.515338
1792,S,UV-6,460.0,1.03068
1793,S,UV-6,465.0,1.54601
1794,S,UV-6,470.0,2.06135
1795,S,UV-6,475.0,2.06135
1796,S,UV-6,480.0,2.06135
1797,S,UV-6,485.0,1.54601
1798,S,UV-6,490.0,3.60736
1799,S,UV-6,495.0,0.0
